# theta1,theta2,theta1_dot,theta2_dot
-2.957059070467948914e-03,2.508547592163085938e+01,4.553678445518016815e-05,1.144409179687500000e-05
-2.911522286012768745e-03,2.508548736572265625e+01,-1.408027019351720810e-04,0.000000000000000000e+00
-3.052324987947940826e-03,2.508548736572265625e+01,3.477954305708408356e-05,-1.907348632812500000e-06
-3.017545444890856743e-03,2.508548545837402344e+01,7.433537393808364868e-05,1.335144042968750000e-05
-2.943210070952773094e-03,2.508549880981445312e+01,-5.918461829423904419e-05,7.629394531250000000e-06
-3.002394689247012138e-03,2.508550643920898438e+01,7.756752893328666687e-05,-6.866455078125000000e-05
-2.924827160313725471e-03,2.508543777465820312e+01,-6.241025403141975403e-05,1.144409179687500000e-05
-2.987237414345145226e-03,2.508544921875000000e+01,3.631692379713058472e-05,4.386901855468750000e-05
-2.950920490548014641e-03,2.508549308776855469e+01,-5.333893932402133942e-05,-4.386901855468750000e-05
-3.004259429872035980e-03,2.508544921875000000e+01,-1.341220922768115997e-05,3.051757812500000000e-05
-3.017671639099717140e-03,2.508547973632812500e+01,9.054550901055335999e-05,-1.087188720703125000e-04
-2.927126130089163780e-03,2.508537101745605469e+01,1.559499651193618774e-06,8.773803710937500000e-05
-2.925566630437970161e-03,2.508545875549316406e+01,-6.316229701042175293e-05,1.049041748046875000e-04
-2.988728927448391914e-03,2.508556365966796875e+01,-3.892765380442142487e-05,-2.670288085937500000e-05
-3.027656581252813339e-03,2.508553695678710938e+01,9.448174387216567993e-05,-9.918212890625000000e-05
-2.933174837380647659e-03,2.508543777465820312e+01,-9.943754412233829498e-05,6.484985351562500000e-05
-3.032612381502985954e-03,2.508550262451171875e+01,5.676760338246822357e-05,-6.866455078125000000e-05
-2.975844778120517731e-03,2.508543395996093750e+01,1.609674654901027679e-05,9.536743164062500000e-05
-2.959748031571507454e-03,2.508552932739257812e+01,1.011081039905548096e-04,-6.866455078125000000e-05
-2.858639927580952644e-03,2.508546066284179688e+01,-1.286047045141458511e-04,1.525878906250000000e-05
-2.987244632095098495e-03,2.508547592163085938e+01,6.955489516258239746e-05,4.196166992187500000e-05
-2.917689736932516098e-03,2.508551788330078125e+01,-1.150702591985464096e-04,-3.051757812500000000e-05
-3.032759996131062508e-03,2.508548736572265625e+01,1.096674241125583649e-04,1.125335693359375000e-04
