# com1_x,com1_y,com1_x_dot,com1_y_dot,end1_x,end1_y,end1_x_dot,end1_y_dot,com2_x,com2_y,com2_x_dot,com2_y_dot,end2_x,end2_y,end2_x_dot,end2_y_dot,tau_force_1,tau_force_2,tau_grav_comp_1,tau_grav_comp_2
1.639992829763e-01,-4.849569807960e-04,2.208338150454e-08,7.467999999694e-06,3.279985659525e-01,-9.699139615920e-04,4.416676300909e-08,1.493599999939e-05,4.857993472327e-01,-8.901712455626e-03,4.961275914539e-07,2.392762678999e-05,6.436001285130e-01,-1.683351094966e-02,9.480884198987e-07,3.291925358060e-05,6.267666175633e-01,2.997379655724e-01,2.261471152121e+00,3.144404391637e-01
1.639993048896e-01,-4.774889802961e-04,-6.723173856996e-08,-2.309154524395e-05,3.279986097792e-01,-9.549779605922e-04,-1.344634771399e-07,-4.618309048789e-05,4.857998427641e-01,-8.877784814964e-03,-1.250016089146e-06,-6.840193046087e-05,6.436010757490e-01,-1.680059166934e-02,-2.365568701152e-06,-9.062077043384e-05,6.268004840796e-01,2.997568522610e-01,2.261472312366e+00,3.144413392493e-01
1.639992360322e-01,-5.005805207305e-04,1.740996177429e-08,5.703818490910e-06,3.279984720644e-01,-1.001161041461e-03,3.481992354857e-08,1.140763698182e-05,4.857985879324e-01,-8.946186657196e-03,2.959903502948e-07,1.659487307081e-05,6.435987038005e-01,-1.689121227293e-02,5.571607770411e-07,2.178210915979e-05,6.267074915275e-01,2.997101805046e-01,2.261469268864e+00,3.144391132355e-01
1.639992533430e-01,-4.948767019380e-04,3.678684469181e-08,1.219094582282e-05,3.279985066859e-01,-9.897534038761e-04,7.357368938362e-08,2.438189164563e-05,4.857988836391e-01,-8.929591779230e-03,7.697928231134e-07,3.821890400669e-05,6.435992605923e-01,-1.686943015458e-02,1.466011956843e-06,5.205591636775e-05,6.267298304378e-01,2.997210771557e-01,2.261469994630e+00,3.144396334847e-01
1.639992896767e-01,-4.826857547592e-04,-2.856757215149e-08,-9.706235360042e-06,3.279985793534e-01,-9.653715095183e-04,-5.713514430297e-08,-1.941247072008e-05,4.857996519191e-01,-8.891372842005e-03,-4.657619165451e-07,-2.754794032625e-05,6.436007244847e-01,-1.681737417449e-02,-8.743886887871e-07,-3.568340993241e-05,6.267833503103e-01,2.997501424664e-01,2.261471812098e+00,3.144410195912e-01
1.639992608219e-01,-4.923919892682e-04,3.819362987408e-08,1.272101740884e-05,3.279985216438e-01,-9.847839785363e-04,7.638725974815e-08,2.544203481768e-05,4.857991853730e-01,-8.918920770092e-03,1.470247062586e-07,2.684693067924e-05,6.435998491022e-01,-1.685305756165e-02,2.176621527691e-07,2.825182654080e-05,6.267467915405e-01,2.997330538753e-01,2.261470654863e+00,3.144402049266e-01
1.639992985222e-01,-4.796709703908e-04,-2.993638711359e-08,-1.023523788174e-05,3.279985970443e-01,-9.593419407816e-04,-5.987277422717e-08,-2.047047576349e-05,4.857993314047e-01,-8.892073836161e-03,-4.641736749702e-07,-2.851297359163e-05,6.436000657651e-01,-1.682480573154e-02,-8.684745757133e-07,-3.655547141977e-05,6.267752600335e-01,2.997360049300e-01,2.261471243191e+00,3.144403456692e-01
1.639992682664e-01,-4.899062073317e-04,1.779188639941e-08,5.955948928415e-06,3.279985365328e-01,-9.798124146634e-04,3.558377279881e-08,1.191189785683e-05,4.857988663873e-01,-8.920586797565e-03,6.723222496949e-07,2.456526600964e-05,6.435991962418e-01,-1.686136118047e-02,1.309060726591e-06,3.721863416246e-05,6.267378350614e-01,2.997191109433e-01,2.261470077953e+00,3.144395396339e-01
1.639992859501e-01,-4.839502580815e-04,-2.581339345165e-08,-8.747547962476e-06,3.279985719002e-01,-9.679005161631e-04,-5.162678690331e-08,-1.749509592495e-05,4.857995379859e-01,-8.896021505396e-03,-8.223032380820e-07,-3.283460558943e-05,6.436005040716e-01,-1.682414249463e-02,-1.592979689261e-06,-4.817411525391e-05,6.267763615770e-01,2.997456901929e-01,2.261471555679e+00,3.144408074148e-01
1.639992599034e-01,-4.926978053514e-04,-6.608166051393e-09,-2.199592387010e-06,3.279985198069e-01,-9.853956107028e-04,-1.321633210279e-08,-4.399184774019e-06,4.857987144705e-01,-8.928856072119e-03,1.226594894110e-07,-1.699954232228e-06,6.435989091342e-01,-1.687231653353e-02,2.585353109248e-07,9.992763095629e-07,6.267265926007e-01,2.997134684045e-01,2.261469709280e+00,3.144392702470e-01
1.639992532805e-01,-4.948973976941e-04,4.481073678221e-08,1.484939586563e-05,3.279985065610e-01,-9.897947953881e-04,8.962147356441e-08,2.969879173127e-05,4.857988370774e-01,-8.930556025100e-03,-5.468886323400e-08,2.683102903384e-05,6.435991675939e-01,-1.687131725481e-02,-1.989992000324e-07,2.396326633642e-05,6.267278503391e-01,2.997191385734e-01,2.261469901357e+00,3.144395409529e-01
1.639992974190e-01,-4.800479998200e-04,7.486346882755e-10,2.557568471209e-07,3.279985948380e-01,-9.600959996400e-04,1.497269376551e-09,5.115136942418e-07,4.857987810180e-01,-8.903724990738e-03,7.108437712214e-07,1.460268162048e-05,6.435989671980e-01,-1.684735398184e-02,1.420190273066e-06,2.869384954671e-05,6.267516132162e-01,2.997131143779e-01,2.261470137766e+00,3.144392533421e-01
1.639992981674e-01,-4.797922429723e-04,-3.030478015391e-08,-1.035857238035e-05,3.279985963348e-01,-9.595844859446e-04,-6.060956030783e-08,-2.071714476070e-05,4.857994912322e-01,-8.889122277464e-03,2.703842371508e-07,-1.413023909007e-05,6.436003861296e-01,-1.681866006898e-02,6.013780346094e-07,-7.543333419437e-06,6.267817260606e-01,2.997427142117e-01,2.261471558872e+00,3.144406655620e-01
1.639992675355e-01,-4.901508143887e-04,-1.908042121448e-08,-6.384106710800e-06,3.279985350710e-01,-9.803016287774e-04,-3.816084242896e-08,-1.276821342160e-05,4.857997608247e-01,-8.903252507720e-03,-5.581483447289e-07,-2.312479223842e-05,6.436009865784e-01,-1.682620338666e-02,-1.078135847029e-06,-3.348137105524e-05,6.267747831917e-01,2.997565497495e-01,2.261471854482e+00,3.144413248401e-01
1.639992483308e-01,-4.965349207265e-04,4.691348520367e-08,1.549493497602e-05,3.279984966616e-01,-9.930698414530e-04,9.382697040734e-08,3.098986995204e-05,4.857992020880e-01,-8.926377282141e-03,5.653737084234e-08,3.024814587789e-05,6.435999075143e-01,-1.685968472283e-02,1.924777127734e-08,2.950642180373e-05,6.267402227915e-01,2.997347959713e-01,2.261470589654e+00,3.144402880140e-01
1.639992945123e-01,-4.810399835573e-04,-4.783343458959e-08,-1.630768708410e-05,3.279985890246e-01,-9.620799671146e-04,-9.566686917918e-08,-3.261537416820e-05,4.857992571596e-01,-8.896129131789e-03,-3.700873069454e-07,-3.807333485519e-05,6.435999252946e-01,-1.683017829646e-02,-6.445077447116e-07,-4.353129554217e-05,6.267697469982e-01,2.997332379407e-01,2.261471063622e+00,3.144402137058e-01
1.639992458681e-01,-4.973476682363e-04,2.823323517363e-08,9.309844144463e-06,3.279984917361e-01,-9.946953364726e-04,5.646647034727e-08,1.861968828893e-05,4.857988853563e-01,-8.934202457087e-03,-3.798942823894e-08,1.674234530652e-05,6.435992789765e-01,-1.687370957770e-02,-1.324453268251e-07,1.486500232411e-05,6.267255693988e-01,2.997217729991e-01,2.261469939098e+00,3.144396666960e-01
1.639992738371e-01,-4.880378232955e-04,7.855821147918e-09,2.639854745177e-06,3.279985476741e-01,-9.760756465910e-04,1.571164229584e-08,5.279709490354e-06,4.857988468272e-01,-8.917460109626e-03,9.008915351560e-07,2.286879015353e-05,6.435991459803e-01,-1.685884457266e-02,1.786071428016e-06,4.045787081671e-05,6.267403014077e-01,2.997178293801e-01,2.261470082912e+00,3.144394784570e-01
1.639992816716e-01,-4.853979684872e-04,4.907766827461e-08,1.658165642563e-05,3.279985633433e-01,-9.707959369744e-04,9.815533654922e-08,3.316331285126e-05,4.857997466960e-01,-8.894591270050e-03,3.552314120575e-07,3.828294393986e-05,6.436009300487e-01,-1.681838660313e-02,6.123074875658e-07,4.340257502845e-05,6.267825434456e-01,2.997547760393e-01,2.261471937819e+00,3.144412403501e-01
1.639993299110e-01,-4.688163096087e-04,-6.029198296864e-08,-2.109108536373e-05,3.279986598221e-01,-9.376326192175e-04,-1.205839659373e-07,-4.218217072745e-05,4.858001001678e-01,-8.856308317035e-03,-1.018133512071e-06,-6.006831944303e-05,6.436015405136e-01,-1.677498401485e-02,-1.915683058205e-06,-7.795446815861e-05,6.268265564987e-01,2.997655292959e-01,2.261473022621e+00,3.144417524452e-01
1.639992682628e-01,-4.899073910374e-04,3.407545722298e-08,1.140695191076e-05,3.279985365257e-01,-9.798147820748e-04,6.815091444596e-08,2.281390382152e-05,4.857990783082e-01,-8.916376577703e-03,9.532090244749e-07,4.041127820958e-05,6.435996200908e-01,-1.685293837333e-02,1.838267134504e-06,5.800865259764e-05,6.267466817174e-01,2.997279599738e-01,2.261470500208e+00,3.144399619306e-01
1.639993019416e-01,-4.785004379508e-04,-5.506116942162e-08,-1.887144218280e-05,3.279986038832e-01,-9.570008759016e-04,-1.101223388432e-07,-3.774288436560e-05,4.858000297426e-01,-8.875965247829e-03,-1.263027235594e-06,-6.071685268305e-05,6.436014556021e-01,-1.679492961976e-02,-2.415932132345e-06,-8.369082100050e-05,6.268065259823e-01,2.997649229751e-01,2.261472661697e+00,3.144417235792e-01
1.639992457947e-01,-4.973718769240e-04,5.454549256828e-08,1.798537484270e-05,3.279984915893e-01,-9.947437538480e-04,1.090909851366e-07,3.597074968540e-05,4.857987628715e-01,-8.936682010087e-03,1.873797555579e-06,7.103412673075e-05,6.435990341537e-01,-1.687862026633e-02,3.638504126022e-06,1.060975037761e-04,6.267204138874e-01,2.997166660519e-01,2.261469694451e+00,3.144394229203e-01
1.639992993539e-01,-4.793864991264e-04,-4.494101274951e-09,-1.537443089575e-06,3.279985987079e-01,-9.587729982528e-04,-8.988202549902e-09,-3.074886179151e-06,4.858006308011e-01,-8.865647681675e-03,-1.410255387899e-06,-3.104077892528e-05,6.436026628943e-01,-1.677252236510e-02,-2.811522573249e-06,-5.900667167140e-05,6.268301405292e-01,2.997903148195e-01,2.261473838983e+00,3.144429315859e-01
1.639992948526e-01,-4.809239421949e-04,-3.896566147927e-08,-1.328763333533e-05,3.279985897053e-01,-9.618478843898e-04,-7.793132295854e-08,-2.657526667066e-05,4.857992180532e-01,-8.896688336245e-03,-7.662354773810e-07,-4.026361096962e-05,6.435998464011e-01,-1.683152878810e-02,-1.454539631803e-06,-5.395195526859e-05,6.267683176130e-01,2.997315757922e-01,2.261470988381e+00,3.144401344244e-01
1.639992553487e-01,-4.942115739371e-04,2.664459292185e-08,8.841746386960e-06,3.279985106974e-01,-9.884231478743e-04,5.328918584370e-08,1.768349277392e-05,4.857984501474e-01,-8.936951914158e-03,1.755312560201e-06,5.147329127794e-05,6.435983895975e-01,-1.688548068044e-02,3.457335934558e-06,8.526308978197e-05,6.267129089171e-01,2.997028213676e-01,2.261469146655e+00,3.144387616977e-01
1.639992817549e-01,-4.853698268362e-04,-3.910483263657e-08,-1.321294425603e-05,3.279985635098e-01,-9.707396536724e-04,-7.820966527314e-08,-2.642588851205e-05,4.858002013656e-01,-8.885478439482e-03,-1.636743244944e-06,-5.749945368974e-05,6.436018392213e-01,-1.680021722529e-02,-3.195276824615e-06,-8.857301886743e-05,6.268016219960e-01,2.997737981398e-01,2.261472844470e+00,3.144421460119e-01
