theta_0,theta_1,gt_x,gt_y,frame0_00,frame0_01,frame0_02,frame0_10,frame0_11,frame0_12,frame0_20,frame0_21,frame0_22,frame1_00,frame1_01,frame1_02,frame1_10,frame1_11,frame1_12,frame1_20,frame1_21,frame1_22,frame2_00,frame2_01,frame2_02,frame2_10,frame2_11,frame2_12,frame2_20,frame2_21,frame2_22,frame3_00,frame3_01,frame3_02,frame3_10,frame3_11,frame3_12,frame3_20,frame3_21,frame3_22
-0.0029570591,25.0854759216,0.9494932442,-0.0217068826,0.9999956279,0.0029570548,0.0000000000,-0.0029570548,0.9999956279,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.9999956279,0.0029570548,0.5499975953,-0.0029570548,0.9999956279,-0.0016263801,0.0000000000,0.0000000000,1.0000000000,0.9987391220,0.0502012563,0.5499975953,-0.0502012563,0.9987391220,-0.0016263801,0.0000000000,0.0000000000,1.0000000000,0.9987391220,0.0502012563,0.9494932442,-0.0502012563,0.9987391220,-0.0217068826,0.0000000000,0.0000000000,1.0000000000
-0.0029115223,25.0854873657,0.9494944612,-0.0216590739,0.9999957615,0.0029115182,0.0000000000,-0.0029115182,0.9999957615,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.9999957615,0.0029115182,0.5499976688,-0.0029115182,0.9999957615,-0.0016013350,0.0000000000,0.0000000000,1.0000000000,0.9987419809,0.0501443472,0.5499976688,-0.0501443472,0.9987419809,-0.0016013350,0.0000000000,0.0000000000,1.0000000000,0.9987419809,0.0501443472,0.9494944612,-0.0501443472,0.9987419809,-0.0216590739,0.0000000000,0.0000000000,1.0000000000
-0.0030523250,25.0854873657,0.9494914021,-0.0217927650,0.9999953417,0.0030523202,0.0000000000,-0.0030523202,0.9999953417,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.9999953417,0.0030523202,0.5499974379,-0.0030523202,0.9999953417,-0.0016787761,0.0000000000,0.0000000000,1.0000000000,0.9987349106,0.0502849723,0.5499974379,-0.0502849723,0.9987349106,-0.0016787761,0.0000000000,0.0000000000,1.0000000000,0.9987349106,0.0502849723,0.9494914021,-0.0502849723,0.9987349106,-0.0217927650,0.0000000000,0.0000000000,1.0000000000
-0.0030175454,25.0854854584,0.9494921212,-0.0217605041,0.9999954472,0.0030175409,0.0000000000,-0.0030175409,0.9999954472,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.9999954472,0.0030175409,0.5499974960,-0.0030175409,0.9999954472,-0.0016596475,0.0000000000,0.0000000000,1.0000000000,0.9987365630,0.0502521416,0.5499974960,-0.0502521416,0.9987365630,-0.0016596475,0.0000000000,0.0000000000,1.0000000000,0.9987365630,0.0502521416,0.9494921212,-0.0502521416,0.9987365630,-0.0217605041,0.0000000000,0.0000000000,1.0000000000
-0.0029432101,25.0854988098,0.9494940041,-0.0216845894,0.9999956688,0.0029432058,0.0000000000,-0.0029432058,0.9999956688,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.9999956688,0.0029432058,0.5499976178,-0.0029432058,0.9999956688,-0.0016187632,0.0000000000,0.0000000000,1.0000000000,0.9987409656,0.0501645654,0.5499976178,-0.0501645654,0.9987409656,-0.0016187632,0.0000000000,0.0000000000,1.0000000000,0.9987409656,0.0501645654,0.9494940041,-0.0501645654,0.9987409656,-0.0216845894,0.0000000000,0.0000000000,1.0000000000
-0.0030023947,25.0855064392,0.9494928723,-0.0217377369,0.9999954928,0.0030023902,0.0000000000,-0.0030023902,0.9999954928,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.9999954928,0.0030023902,0.5499975210,-0.0030023902,0.9999954928,-0.0016513146,0.0000000000,0.0000000000,1.0000000000,0.9987383780,0.0502160556,0.5499975210,-0.0502160556,0.9987383780,-0.0016513146,0.0000000000,0.0000000000,1.0000000000,0.9987383780,0.0502160556,0.9494928723,-0.0502160556,0.9987383780,-0.0217377369,0.0000000000,0.0000000000,1.0000000000
-0.0029248272,25.0854377747,0.9494931775,-0.0216915182,0.9999957227,0.0029248230,0.0000000000,-0.0029248230,0.9999957227,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.9999957227,0.0029248230,0.5499976475,-0.0029248230,0.9999957227,-0.0016086526,0.0000000000,0.0000000000,1.0000000000,0.9987388251,0.0502071639,0.5499976475,-0.0502071639,0.9987388251,-0.0016086526,0.0000000000,0.0000000000,1.0000000000,0.9987388251,0.0502071639,0.9494931775,-0.0502071639,0.9987388251,-0.0216915182,0.0000000000,0.0000000000,1.0000000000
-0.0029872374,25.0854492188,0.9494920520,-0.0217462044,0.9999955382,0.0029872330,0.0000000000,-0.0029872330,0.9999955382,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.9999955382,0.0029872330,0.5499975460,-0.0029872330,0.9999955382,-0.0016429781,0.0000000000,0.0000000000,1.0000000000,0.9987362649,0.0502580657,0.5499975460,-0.0502580657,0.9987362649,-0.0016429781,0.0000000000,0.0000000000,1.0000000000,0.9987362649,0.0502580657,0.9494920520,-0.0502580657,0.9987362649,-0.0217462044,0.0000000000,0.0000000000,1.0000000000
-0.0029509205,25.0854930878,0.9494937220,-0.0216941963,0.9999956460,0.0029509162,0.0000000000,-0.0029509162,0.9999956460,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.9999956460,0.0029509162,0.5499976053,-0.0029509162,0.9999956460,-0.0016230039,0.0000000000,0.0000000000,1.0000000000,0.9987402917,0.0501779809,0.5499976053,-0.0501779809,0.9987402917,-0.0016230039,0.0000000000,0.0000000000,1.0000000000,0.9987402917,0.0501779809,0.9494937220,-0.0501779809,0.9987402917,-0.0216941963,0.0000000000,0.0000000000,1.0000000000
-0.0030042594,25.0854492188,0.9494916817,-0.0217623667,0.9999954872,0.0030042549,0.0000000000,-0.0030042549,0.9999954872,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.9999954872,0.0030042549,0.5499975180,-0.0030042549,0.9999954872,-0.0016523402,0.0000000000,0.0000000000,1.0000000000,0.9987354093,0.0502750662,0.5499975180,-0.0502750662,0.9987354093,-0.0016523402,0.0000000000,0.0000000000,1.0000000000,0.9987354093,0.0502750662,0.9494916817,-0.0502750662,0.9987354093,-0.0217623667,0.0000000000,0.0000000000,1.0000000000
