# link_lengths=0.3,0.5
theta_0,theta_1,gt_x,gt_y
9.741875034692899504e-01,2.077702517879847832e+00,-3.294375960316987539e-01,2.929648908729867718e-01
-2.104459201427886228e+00,2.320852840771594039e+00,3.357319689908637161e-01,-1.509304877179365456e-01
-1.561073281452130646e+00,1.584696461350969088e+00,5.027773604741395674e-01,-2.881753280754406066e-01
2.620182149996304055e+00,-2.355779465276856222e+00,2.224891459317703823e-01,2.800974900514172639e-01
1.872272809226746659e+00,8.434845899796550306e-01,-5.444261377027306281e-01,4.930105287333558239e-01
-1.820698107865293069e+00,-2.504766399826775292e+00,-2.628636569873704643e-01,1.723559667500708659e-01
2.319581700009649694e+00,2.911593426348584757e+00,4.368832455964241634e-02,-2.144559603838407102e-01
1.402528598839402285e+00,-2.107839313655672342e+00,4.309475191873204936e-01,-2.837231376302395969e-02
-5.212943534528728939e-01,1.327694298804613204e+00,6.062033106391009341e-01,2.114992312702810295e-01
-1.747960837452411376e-01,-2.413439489336644428e+00,-1.299539025671688774e-01,-3.149453355048904557e-01
