# link_lengths=0.6,0.2,0.2
theta_0,theta_1,theta_2,gt_x,gt_y
-5.850136801472975989e-01,7.099313657666450617e-01,-3.129006336241514585e+00,5.005520621565161532e-01,-3.338220816535090729e-01
1.889790454105084727e-01,2.506002189706183714e+00,9.094070614846030409e-01,2.299731791576153372e-01,1.098058075053352234e-01
2.101412872881544658e+00,-9.484917656913611772e-01,-2.110534392174464813e+00,-1.073805336229130269e-01,5.367237076265944928e-01
-2.987491848333364342e+00,1.556189257118325564e-01,1.478007522289224163e-01,-9.628038793988102917e-01,-2.413983097701880021e-01
1.702694177655041941e+00,-2.454496862027445658e+00,-1.116904824298003973e-01,1.971395779474265364e-01,3.061737164551175949e-01
-1.405478067530094854e-01,1.351870012788833897e+00,-1.504449017309013037e+00,8.559090609582771236e-01,4.537565115852547348e-02
-1.388255964365819661e+00,-5.304133163821873609e-01,2.552551229659883347e+00,2.018840778994682728e-01,-6.595960140530442439e-01
-4.033545376394869209e-01,-3.038597252254312320e+00,-5.069781336824008555e-01,2.225187247863552320e-01,-3.184113867765306360e-02
1.246548329553262668e+00,2.795745630509069102e+00,-5.051633327984208499e-01,-1.176123396638554808e-01,3.349208803154518077e-01
-2.329256810077971807e+00,1.577584422095839933e+00,-2.471718482496576108e+00,-4.659045410104590279e-01,-5.557683433457578648e-01
