# link_lengths=0.2,0.2,0.3,0.3
theta_0,theta_1,theta_2,theta_3,gt_x,gt_y
1.348875859913966302e+00,-1.605373563432425321e+00,2.861307253790108973e+00,-5.122886286970609326e-01,-1.698426952724130246e-01,5.578569744396431052e-01
2.594455766943384312e+00,-2.845105331442540297e+00,2.234305670784129561e+00,2.328379239950431945e+00,-2.143455535100484699e-01,5.295836185278779418e-02
-2.510185876043067310e+00,3.111194751085450960e+00,2.603396161921166296e+00,5.337006806166453288e-01,-5.440846993276232668e-01,-1.923208813292894559e-01
-5.226592414789572594e-01,-1.801657042749689186e+00,-1.288293997403298086e-01,1.055480627445280817e+00,-1.435328511689316633e-01,-7.318108721998322075e-01
2.568502200027413807e+00,7.533499548077662311e-01,1.247232309644656922e-01,-5.175014635710706301e-01,-9.442117590583303244e-01,4.578306812576027340e-02
-1.234661080028902180e+00,1.521687289484817462e+00,-3.049768339836859798e+00,1.096084451734667731e+00,-4.965527716065896990e-02,-5.417654930043094286e-01
1.431716818347719133e+00,2.798440469815448139e+00,-2.679072387249685328e+00,1.052973775679911128e+00,-3.168043288352672682e-01,4.744238830124630768e-01
-2.302796208121105970e+00,-7.808077604616201484e-01,1.681831071181851378e+00,1.842340539110418618e-01,-1.790828128825698862e-01,-7.375591674821397881e-01
-2.500287832849590330e-01,7.311178271757112768e-01,-2.115868538857075265e+00,2.563292808815888613e+00,5.316050271206824718e-01,-1.610444739134256342e-02
1.976462699546255308e-02,-1.820847735654619548e+00,-9.463336705334484122e-01,-2.358362406855080362e+00,-7.687869068924949034e-03,-2.889729586415812346e-02
