# link_lengths=0.25,0.2,0.2,0.15,0.2
theta_0,theta_1,theta_2,theta_3,theta_4,gt_x,gt_y
1.849905783982404017e+00,1.453289820317341885e+00,7.682528814823075258e-01,-8.361540858459348691e-01,-2.828670673591911378e+00,-3.515086544073855457e-01,1.129058653271407808e-01
7.821860559876414598e-01,4.601533549903407128e-01,5.534664573032861412e-01,2.624776274770229456e+00,2.450890083692891963e+00,3.204630773967888646e-01,5.278031042069292189e-01
1.153640474724116238e+00,2.697333018339357125e+00,-6.608351363666056244e-01,-2.588464953382882960e-01,-9.780247738871938878e-01,-4.715649736875616171e-01,3.054452774215615229e-01
2.270378081324826880e+00,-9.651946465051843838e-01,1.968440309717691683e-01,3.078202209284717661e+00,-2.595300481905371548e+00,-1.949768460594262787e-01,6.181926904039087844e-01
2.081129017233494416e+00,2.739631257520205310e+00,1.116289337535328663e+00,3.046550403161032428e+00,-2.546998511978303181e+00,1.496666814345249397e-01,4.607950553788255077e-02
-2.066958857196478760e+00,2.998055342226124687e+00,1.247090861095307979e+00,1.366505778799499637e+00,-1.984404509742092593e+00,-2.496439363653943089e-01,2.459771216849588327e-01
2.371131577106734944e+00,2.610022855165884614e+00,-1.238879165777251101e+00,-1.320413724387340837e+00,-2.069573220127457702e+00,-2.163594528216243040e-01,3.614218128929626295e-02
2.555281125390311381e+00,-1.711409784295022662e+00,-3.096215543143193916e+00,-1.954296861380200312e-02,2.978218654529267262e+00,-1.459390824202500825e-01,1.476363059881215523e-01
2.041496329901810292e+00,-2.802200036951510320e+00,2.379265404066925882e+00,-2.956089203616489414e+00,1.562072036207113435e+00,2.515961767944231431e-01,1.832934562650145038e-01
-5.810120380838807996e-01,-4.385449928174196543e-01,-1.898163023293197638e+00,3.122357562652239515e+00,-1.612827170775017471e+00,2.979649813494025246e-01,-5.188741064931892133e-01
