# link_lengths=0.25,0.2,0.15,0.1,0.1,0.1
theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,gt_x,gt_y
8.938475641677818828e-01,-2.143779423820591390e+00,1.263426938574121472e+00,2.864321146504993365e+00,-5.537363320489374630e-01,3.792161785953980235e-01,1.141755543399056577e-01,1.485607586140915148e-01
1.274439068600273117e+00,-1.548754427765038022e+00,-2.397202489411339510e+00,-1.792308817068618998e+00,2.528506596703469889e+00,-3.098998692946914879e+00,1.031898388268895905e-01,2.153411308270017366e-01
8.705720241327012943e-01,1.502992431510192795e+00,2.884118330091769877e+00,-1.095897598378516857e+00,-8.922650161522582835e-02,-2.438832929023412532e+00,-2.327358947576044917e-02,1.362333109412159349e-01
7.786175328000828344e-01,-3.086120928800474061e+00,-1.820955221947710978e+00,-1.977537985570208434e+00,-8.450506676995628297e-02,-9.409345454240551909e-01,2.250394032469003047e-01,1.044512461913361390e-01
-1.253888536476520876e+00,1.770000065693750457e+00,-3.099434840104622335e+00,1.673351064671552813e+00,2.091720842563992377e+00,6.898972235005795817e-01,1.943047776909002655e-01,-1.092214723181133829e-01
-2.000347453822589383e+00,-2.575111256140173221e+00,-1.635034307087706251e+00,-1.037641360178981120e+00,-1.483378988222579187e+00,1.569700329577022657e+00,6.203792858178408531e-02,-2.413595456178639354e-01
1.168970499959689491e+00,-2.710967030215764240e+00,-1.002310233082648327e+00,-1.187694335248714594e+00,8.669219063293462924e-01,2.028985640587570138e+00,-1.327317357036594259e-01,-1.000232909320065977e-01
2.110828919158857175e+00,-2.441284368563145790e+00,-1.063933168744432223e+00,1.863771791790790999e+00,7.420138189693181729e-01,-2.943389937134917922e+00,1.952680767472532997e-01,4.199699436954390519e-02
3.580846478292434298e-01,1.436167955488850012e+00,-2.980458326297739546e+00,3.014223271920617897e+00,-1.446468192567470057e+00,-1.733939608582568681e-02,4.069091664252387774e-01,3.131719759477174514e-01
-1.389536306188609016e+00,-1.706374524456601316e+00,-1.132434718709161903e+00,-3.147387498369371706e-01,1.442739716352191337e+00,7.865189165022838935e-01,-4.089451956501368168e-01,-1.014651179837896405e-01
